"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.098411603E0	-1.104074344E-2	1.367931366E-1	-2.041156590E-1	2.459623192E-1
2.106437617E0	-1.065685600E-2	1.416044235E-1	-1.190060973E-1	1.852777173E-1
2.114494149E0	8.537087590E-3	1.129045486E-1	-7.756745815E-2	1.372480584E-1
2.122550681E0	5.427855253E-2	1.392784119E-1	-6.341549754E-2	1.623766073E-1
2.130607212E0	9.240414947E-3	1.345348358E-1	-4.019665718E-2	1.407152393E-1
2.138663743E0	3.127615526E-2	1.681070328E-1	1.838832349E-2	1.719776230E-1
2.146689758E0	2.463028952E-2	1.178874969E-1	2.643521875E-2	1.233001780E-1
2.154746289E0	6.575316191E-2	1.682271957E-1	-4.195769876E-2	1.854300843E-1
2.162802821E0	9.232115000E-2	7.252025604E-2	-2.512048781E-1	2.772837411E-1
2.170859352E0	7.804492116E-2	1.180715561E-1	-4.528880715E-1	4.744886800E-1
2.178915883E0	6.389759481E-2	1.277074814E-1	-5.296519399E-1	5.485647463E-1
2.186972415E0	-3.120207042E-2	1.349554062E-1	-5.422849655E-1	5.596959127E-1
2.194998430E0	-4.502660036E-2	1.422243118E-1	-4.796294570E-1	5.022943018E-1
2.203054961E0	2.911445498E-2	1.567277908E-1	-2.283894122E-1	2.785192552E-1
2.211111492E0	8.643777668E-2	1.114339828E-1	-8.807062358E-2	1.662692290E-1
2.219168024E0	8.392477781E-2	1.332445145E-1	3.262847662E-2	1.608169346E-1
2.227224556E0	2.174579203E-1	9.287452698E-2	1.104303449E-1	2.609760256E-1
2.235281087E0	2.455954850E-1	9.568881989E-2	3.293039203E-1	4.217991991E-1
2.243337619E0	2.458047569E-1	9.139060974E-2	5.540047884E-1	6.129384371E-1
2.251363633E0	2.822645903E-1	9.671497345E-2	6.256645918E-1	6.931690028E-1
2.259420164E0	3.564756513E-1	1.260013580E-1	5.235131979E-1	6.457687671E-1
2.267476696E0	4.179302454E-1	1.098184586E-1	4.079468846E-1	5.942612595E-1
2.275533228E0	4.381069243E-1	1.606912613E-1	3.888832629E-1	6.074451010E-1
2.283589759E0	4.432708621E-1	1.421575546E-1	3.606939912E-1	5.888955619E-1
2.291646291E0	5.001569986E-1	1.093158722E-1	4.038420320E-1	6.520700652E-1
2.299672305E0	5.705316663E-1	1.316146851E-1	4.916551411E-1	7.645610409E-1
2.307728837E0	6.430421472E-1	1.156358719E-1	4.649199247E-1	8.018886421E-1
2.315785368E0	7.724930644E-1	1.284265518E-1	5.149043202E-1	9.372114877E-1
2.323841900E0	6.851024628E-1	1.388120651E-1	4.030834138E-1	8.069141295E-1
2.331898431E0	6.343420148E-1	1.396341324E-1	3.419807553E-1	7.340560739E-1
2.339954963E0	7.784155607E-1	1.308841705E-1	2.074673474E-1	8.161520395E-1
